,COMMUNITY_ID,COMMUNITY_NAME,COMMUNITY_ALIASES,COMMUNITY_TYPE,MAIN_LANGUAGE,OTHER_LANGUAGES,LOCAL_GOVT COUNCIL,WARD,LAND_COUNCIL,ELECTORATE,POPULATION_COUNT,COMMUNITY_LOCATION,Coordinates,"Community based Aboriginal Corporations
","Community based Aboriginal business
•","Community based Essential Service Operators
•",Aboriginal Ranger Groups,Previous SETuP Community,Latitude,Longitude
30007,131,PAPUNYA,No aliases recorded with NTG DIPL,Major,Luritja/Pintupi,Arrernte dialects,MACDONNELL,LURITJA PINTUBI,CENTRAL LAND COUNCIL,GWOJA,475,Papunya is located on the Haasts Bluff Aboriginal Land Trust west of Alice Springs.,,,,,,N,-23.203,131.911
30838,145,SANTA TERESA,"LTYENTE PURTE,LTYENTYE APURTE",Major,Eastern / Central Arrernte,Not recorded,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,682,"Santa Teresa is located south east of Alice Springs on the Santa Teresa Aboriginal Land Trust. The community boarders the pastoral properties of Allambi, Deepwell, Todd River and Unddolya.",,,,,,N,-24.131,134.373
31632,148,TITJIKALA,MARYVALE,Major,Southern Luritja / Pitjantjatjara,Not recorded,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,267,Titjikala is located south of Alice Springs on a Community Living Area within the Maryvale pastoral property. Just south west of Titjikala is Chambers Pillar and the Old Ghan train line.,,,,,,Y,-24.674,134.076
32456,174,WALLACE ROCKHOLE,"ULANA,URANDA,WALLACE ROCK HOLE",Major,Western Arrernte,Not recorded,MACDONNELL,LJIRAPINTA,CENTRAL LAND COUNCIL,GWOJA,120,Wallace Rockhole is located west of Alice Springs on the Uruna Aboriginal Land Trust and is near Henbury and Owen Springs Pastoral Properties.,,,,,,N,-24.125,133.086
32550,279,ACACIA LARRAKIA,ACACIA GAP,Family Outstation,Kriol,Not recorded,LITCHFIELD,SOUTH WARD,NORTHERN LAND COUNCIL,GOYDER,34,Not recorded,,,,,,N,-12.814,131.172
33424,582,BINJARI,"BINJARRI,WYLUNBA",Minor,Kriol,Not recorded,KATHERINE,Not recorded,NORTHERN LAND COUNCIL,KATHERINE,223,Binjari is located west of Katherine as a Community Living Area within Manbullo Pastoral Property.,,,,,,N,-14.55,132.182
34139,451,ANGURUGU,No aliases recorded with NTG DIPL,Major,Anindilyakwa,Not recorded,EAST ARNHEM,ANINDILYAKWA,ANINDILYAKWA LAND COUNCIL,ARNHEM,1005,Angurugu is located on the banks of the Angurugu River half way down the western coast of Groote Eylandt.,,,,,,N,-13.982,136.461
35315,532,MILYAKBURRA,BICKERTON ISLAND,Major,Anindilyakwa,Not recorded,EAST ARNHEM,ANINDILYAKWA,ANINDILYAKWA LAND COUNCIL,ARNHEM,161,Milyakburra is located on Bickerton Island west of Groote Eylandt within the Anindilyakwa Land Trust.,,,,,,Y,-13.784,136.196
36311,555,UMBAKUMBA,No aliases recorded with NTG DIPL,Major,Anindilyakwa,Not recorded,EAST ARNHEM,ANINDILYAKWA,ANINDILYAKWA LAND COUNCIL,ARNHEM,591,Umbakumba is located east of Angurugu near Little Lagoon and Port Langdon on the north east coast of Groote Eylandt. Umbakumba is part of the Anindilyakwa Land Trust.,,,,,,N,-13.86,136.811
36626,492,GALIWINKU,"ELCHO ISLAND,GALIWIN'KU",Major,"Yolngu Matha (Djambarrpuyngu, Gupapuyngu, Djinang)",Galpu,EAST ARNHEM,GUMURR MARTHAKAL,NORTHERN LAND COUNCIL,MULKA,2453,"Galiwinku is located on the southern end of Elcho Island in North East Arnhem land west of Nhulunbuy.  Elcho Island is at the southern end of the Wessell Island group, and is bounded on the western side by the Arafura Sea and on the east by Cadell Strait",,,,,,Y,-12.024,135.566
37408,500,GAPUWIYAK,LAKE EVELLA,Major,Yolngu Matha (Djambarrpuyngu),Not recorded,EAST ARNHEM,GUMURR MIYARRKA,NORTHERN LAND COUNCIL,ARNHEM,1085,Gapuwiyak is located adjacent to Lake Evella and the upper reaches of the Buckinham River in North East Arnhem Land and is part of the Arnhem Land Aboriginal Land Trust.,,,,,,Y,-12.503,135.806
38215,514,GUNYANGARA,"DRIMMIE HEAD,MARNGARR,SKI BEACH",Minor,Yolgnu Matha(Gumatj),Not recorded,EAST ARNHEM,GUMURR MIWATJ,NORTHERN LAND COUNCIL,MULKA,282,Gunyangara is located on Gunyangara Island in Melville Bay. The small island is joined to the mainland by a causeway at Drimmie Peninsula west of Nhulunbuy.,,,,,,N,-12.215,136.706
39188,531,MILINGIMBI,No aliases recorded with NTG DIPL,Major,Yolngu Matha (Djambarrpuyngu),Gapupuyngu,EAST ARNHEM,GUMURR GATTJIRRK,NORTHERN LAND COUNCIL,MULKA,1439,Milingimbi Island forms part of the Crocodile Island Group off the north coast of Central Arnhem Land in the Arafura Sea west of Nhulunbuy. Milingimbi is part of the Arnhem Land Aboriginal Land Trust.,,,,,,Y,-12.104,134.92
40121,550,RAMINGINING,No aliases recorded with NTG DIPL,Major,Yolngu Matha (Djambarrpuyngu),"Gupapuyngu , Djinang",EAST ARNHEM,BIRR RAWARRANG,NORTHERN LAND COUNCIL,MULKA,1025,Ramingining is located on the edge of the heritage listed Arafura Wetlands in Central Arnhem Land west of Nhulunbuy. Ramingining is part of the Arnhem Land Aboriginal Land Trust.,,,,,,Y,-12.328,134.93
41065,576,YIRRKALA,No aliases recorded with NTG DIPL,Major,Yolngu Matha(Djambarrpuyngu),Not recorded,EAST ARNHEM,GUMURR MIWATJ,NORTHERN LAND COUNCIL,MULKA,951,Yirrkala is located south east of Nhulunbuy and is part of the Arnhem Land Aboriginal Land Trust.,,,,,,N,-12.253,136.892
41265,33,ENGAWALA,ALCOOTA,Minor,"Eastern Arrente, Alyawarr",Not recorded,CENTRAL DESERT,ANMATJERE,CENTRAL LAND COUNCIL,NAMATJIRA,181,Engawala is a Community Living Area on the Alkwert Aboriginal Land Trust (previously the Alcoota Pastoral Property). Alcoota fossil site is just south of the community.,,,,,,N,-22.803,134.455
41916,42,ATITJERE,"ARLTARLPILTA,HART RANGE,HARTS RANGE",Major,Eastern Arrente,Not recorded,CENTRAL DESERT,AKITYARRE,CENTRAL LAND COUNCIL,NAMATJIRA,263,Atitjere is a Community Living Area within the Mount Riddock Pastoral Property at the base of the Harts Ranges .,,,,,,Y,-22.984,134.934
42998,86,LARAMBA,"NAPPERBY,NAPPERRBY",Major,Anmatyerr,Tiwi (Traditional),CENTRAL DESERT,ANMATJERE,CENTRAL LAND COUNCIL,GWOJA,281,Laramba is located north west of Alice Springs on a Community Living Area within the Napperby pastoral property.,,,,,,N,-22.533,132.756
43937,127,NTURIYA,"TI TREE,TI TREE STATION",Major,Anmatyerr,Not recorded,CENTRAL DESERT,ANMATJERE,CENTRAL LAND COUNCIL,BARKLY,110,Nturiya is located north of Alice Springs on the Ahakeye Aboriginal Land Trust just west of Ti Tree. Anmetjere (region) is the name given to Ti Tree and its surrounding communities including Nturiya.,,,,,,N,-22.124,133.265
44719,128,NYIRRIPI,WAITE CREEK,Major,Warlpiri,Not recorded,CENTRAL DESERT,SOUTHERN TANAMI,CENTRAL LAND COUNCIL,GWOJA,277,Nyirripi is located close to the southern and south western extent of traditionally owned Warlpiri land on the Yunkanjini Aboriginal Land Trust between Newhaven and Mount Doreen Pastoral Properties.,,,,,,Y,-22.651,130.553
45532,138,PMARA JUTUNTA,"SIX MILE,TI TREE SIX MILE",Major,Anmatyerr / Warlpiri,Not recorded,CENTRAL DESERT,ANMATJERE,CENTRAL LAND COUNCIL,BARKLY,207,"Pmara Jutunta is located north of Alice Springs, just south of Ti Tree on the Ahakey Aboriginal Land Trust. Anmetjere (region) is the name given to Ti Tree and its surrounding communities including Pmara Jutunta.",,,,,,N,-22.209,133.431
46440,186,WILLOWRA,"WILLOWRA STATION,WIRLIYATJARRAYI",Major,Warlpiri,Not recorded,CENTRAL DESERT,SOUTHERN TANAMI,CENTRAL LAND COUNCIL,GWOJA,354,Willowra is located north of Alice Springs on the Wirliyajarrayi Aboriginal Land Trust.,,,,,,N,-21.244,132.614
47216,187,WILORA,"STERLING STATION,STIRLING STATION",Minor,Alyawarr,Not recorded,CENTRAL DESERT,ANMATJERE,CENTRAL LAND COUNCIL,BARKLY,112,Wilora is located north of Alice Springs on a Community Living Area within the Stirling Pastoral Property. Anmetjere (region) is the name given to Ti Tree and its surrounding communities including Wilora.,,,,,,N,-21.741,133.731
48042,197,YUELAMU,"ALPIRAKINA,ALPIRAKINGA,MOUNT ALLAN,MOUNT ALLEN",Major,Anmatyerr / Warlpiri,Not recorded,CENTRAL DESERT,ANMATJERE,CENTRAL LAND COUNCIL,GWOJA,259,Yuelamu is located north west of Alice Springs on the Yalpirakinu Aboriginal Land Trust south of Mount Denison Pastoral Property.,,,,,,N,-22.258,132.206
48818,198,YUENDUMU,No aliases recorded with NTG DIPL,Major,Warlpiri,Not recorded,CENTRAL DESERT,SOUTHERN TANAMI,CENTRAL LAND COUNCIL,GWOJA,892,"Yuendumu is located on the edge of the Tanami Desert north west of Alice Springs on the Yuendumu Aboriginal Land Trust. The Land Trust boarders Mount Doreen, Mount Denison, Central Mount Wedge and Mount Allan Pastoral Properties.",,,,,,Y,-22.254,131.795
49195,609,LAJAMANU,HOOKER CREEK,Major,Warlpiri,Not recorded,CENTRAL DESERT,NORTHERN TANAMI,CENTRAL LAND COUNCIL,GWOJA,703,Lajamanu is located south west of Katherine on the northern edge of the Tanami Desert and the eastern side of Hooker Creek as part of the Hooker Creek Aboriginal Land Trust. Lajamanu also boarders the southern boundary of Wave Hill Station.,,,,,,Y,-18.336,130.638
49696,294,BELYUEN,"DELISAVILLE,DELISSAVILLE",Major,Kriol,Not recorded,BELYUEN,Not recorded,NORTHERN LAND COUNCIL,DALY,193,Belyuen is located west of Darwin across the Darwin Harbour on the Delissaville/Wagait/Larrakia Aboriginal Land Trust.,,,,,,N,-12.539,130.7
50405,10,AMPILATWATJA,"AHARRENG,AHERRE,AMMARO,AMMAROO,AMPERLATWATYE,HONEYMOON BORE",Major,Alyawarr,Not recorded,BARKLY,ALYAWARR,CENTRAL LAND COUNCIL,BARKLY,491,"Ampilatwatja is located north east of Alice Springs on the Aherrenge Aboriginal Land Trust. The community is surrounded by the pastoral properties of Ammaroo, Derry Downs and Elkedra.",,,,,,N,-21.657,135.225
51161,202,ALI CURUNG,"ALE-KERANGE,ALEKARENGE,WARRABRI,WARRIBRI",Major,"Warlpiri, Alyawarr, Kaytetye and Warumungu",Not recorded,BARKLY,ALYAWARR,CENTRAL LAND COUNCIL,BARKLY,580,"Ali Curung is located south east of Tennant Creek on the Warrabri Aboriginal Land Trust. Ali Curung is surrounded by Neutral Junction, Murray Downs and Singleton Pastoral Properties.",,,,,,N,-21.003,134.407
51943,203,ALPURRURULAM,"ILPERRELHELAM,LAKE NASH,WART ALPARAYETYE",Major,Alyawarr,Not recorded,BARKLY,ALPURRURULAM,CENTRAL LAND COUNCIL,BARKLY,494,Alpurrurulam is a Community Living Area south east of Tennant Creek within the Lake Nash Pastoral Property just west of the Queensland border.,,,,,,N,-20.984,137.847
52838,219,CANTEEN CREEK,"ORWAIRTILLA,ORWAITILLA,ORWAITILLYA,OWAIRTILLA",Major,Alyawarr,Not recorded,BARKLY,ALYAWARR,CENTRAL LAND COUNCIL,BARKLY,216,"Canteen Creek is located south east of Tennant Creek, adjacent to the Creek of the same name in open eucalypt and acacia woodlands on the northern edge of the Davenport Ranges.",,,,,,N,-20.645,135.587
54215,227,WUTUNUGURRA,"EPENARRA,WETENNGERR,WUTTUNUGURR,WUTUNURRGURA",Major,Alyawarr,Not recorded,BARKLY,ALYAWARR,CENTRAL LAND COUNCIL,BARKLY,195,"Wutunugurra is located south east of Tennant Creek, on the western side of the Frew River on a Community Living Area within the Epenarra Pastoral Property.",,,,,,N,-20.462,135.252
54518,250,IMANGARA,"IMANGARA MUNGARAI,IMANGARRA,MURRAY DOWNS,MURRY DOWNS",Minor,Alyawarr,Not recorded,BARKLY,ALYAWARR,CENTRAL LAND COUNCIL,BARKLY,81,Imangara is located south east of Tennant Creek on a Community Living Area within the Murray Downs Pastoral Property.,,,,,,N,-21.05,134.681
55647,264,TARA,NEUTRAL JUNCTION,Minor,Kayetetye,Not recorded,BARKLY,ALYAWARR,CENTRAL LAND COUNCIL,BARKLY,105,Tara is located south of Tennant Creek on a Community Living Area within the Neutral Junction Pastoral Property.,,,,,,N,-21.507,133.997
