GA ID,Project Title,Agency,Approval Date,Publish Date,Category,Grant Term,Value (AUD),Ad hoc/One-off,Aggregate Grant Award,PBS Program Name,Grant Program,Grant Activity,Purpose,Internal Reference ID,Confidentiality - Contract,Confidentiality - Outputs,Recipient Name,Recipient ABN,Grant Recipient Suburb,Grant Recipient Town/City,Grant Recipient Postcode,Grant Recipient State/Territory,Grant Recipient Country,Grant Delivery State/Territory,Grant Delivery Postcode,Grant Delivery Country,Variations,Selection Process,GO ID,GO Title,Confidentiality Reason(s) - Contract,Variation 0 Grant Term Commencement,Variation 0 Grant Term Termination,Variation 0 Grant Value (AUD),Variation 1 Grant Term Commencement,Variation 1 Grant Term Termination,Variation 1 Grant Value (AUD),Variation 2 Grant Term Commencement,Variation 2 Grant Term Termination,Variation 2 Grant Value (AUD),Variation 3 Grant Term Commencement,Variation 3 Grant Term Termination,Variation 3 Grant Value (AUD),Variation 4 Grant Term Commencement,Variation 4 Grant Term Termination,Variation 4 Grant Value (AUD),Variation 5 Grant Term Commencement,Variation 5 Grant Term Termination,Variation 5 Grant Value (AUD),Variation 6 Grant Term Commencement,Variation 6 Grant Term Termination,Variation 6 Grant Value (AUD),Variation 7 Grant Term Commencement,Variation 7 Grant Term Termination,Variation 7 Grant Value (AUD),Variation 8 Grant Term Commencement,Variation 8 Grant Term Termination,Variation 8 Grant Value (AUD),Variation 9 Grant Term Commencement,Variation 9 Grant Term Termination,Variation 9 Grant Value (AUD)
GA102088,Community Child Care Fund Special Circumstances - Transition Payment,"Department of Education, Skills and Employment",17-May-20,24-Jul-20,Child Care,13-Jul-2020 to 27-Sep-2020,"56,704.41",Yes,No,DET 20/21 1.1 Support for the Child Care System,Child Care Services Support,Community Child Care Fund Special Circumstances - Transition Payment,"The objective of the grant is to keep services viable during a recovery period, so they can remain operational and continue to deliver quality and affordable child care, so that families can participate in the social and economic life of the community.",TP1120842,No,No,One Tree Community Services Inc,74 914 567 313,Belmont,,6104,WA,AUSTRALIA,NT,830,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA102115,Community Child Care Fund Special Circumstances - Transition Payment,"Department of Education, Skills and Employment",17-May-20,24-Jul-20,Child Care,13-Jul-2020 to 27-Sep-2020,"52,081.92",Yes,No,DET 20/21 1.1 Support for the Child Care System,Child Care Services Support,Community Child Care Fund Special Circumstances - Transition Payment,"The objective of the grant is to keep services viable during a recovery period, so they can remain operational and continue to deliver quality and affordable child care, so that families can participate in the social and economic life of the community.",TP1120846,No,No,One Tree Community Services Inc,74 914 567 313,Belmont,,6104,WA,AUSTRALIA,NT,853,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA102621,Community Child Care Fund Special Circumstances - Transition Payment,"Department of Education, Skills and Employment",17-May-20,24-Jul-20,Child Care,13-Jul-2020 to 27-Sep-2020,"11,178.45",Yes,No,DET 20/21 1.1 Support for the Child Care System,Child Care Services Support,Community Child Care Fund Special Circumstances - Transition Payment,"The objective of the grant is to keep services viable during a recovery period, so they can remain operational and continue to deliver quality and affordable child care, so that families can participate in the social and economic life of the community.",TP1120864,No,No,One Tree Community Services Inc,74 914 567 313,Belmont,,6104,WA,AUSTRALIA,NT,845,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA102632,Community Child Care Fund Special Circumstances - Transition Payment,"Department of Education, Skills and Employment",17-May-20,24-Jul-20,Child Care,13-Jul-2020 to 27-Sep-2020,"10,732.50",Yes,No,DET 20/21 1.1 Support for the Child Care System,Child Care Services Support,Community Child Care Fund Special Circumstances - Transition Payment,"The objective of the grant is to keep services viable during a recovery period, so they can remain operational and continue to deliver quality and affordable child care, so that families can participate in the social and economic life of the community.",TP1120866,No,No,One Tree Community Services Inc,74 914 567 313,Belmont,,6104,WA,AUSTRALIA,NT,822,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA102848,Community Child Care Fund Special Circumstances - Transition Payment,"Department of Education, Skills and Employment",17-May-20,24-Jul-20,Child Care,13-Jul-2020 to 27-Sep-2020,"1,113.75",Yes,No,DET 20/21 1.1 Support for the Child Care System,Child Care Services Support,Community Child Care Fund Special Circumstances - Transition Payment,"The objective of the grant is to keep services viable during a recovery period, so they can remain operational and continue to deliver quality and affordable child care, so that families can participate in the social and economic life of the community.",TP1120854,No,No,One Tree Community Services Inc,74 914 567 313,Belmont,,6104,WA,AUSTRALIA,NT,852,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA103888,IBM-2020-21-NT-TETI-Roper Gulf Regional Council,National Indigenous Australians Agency,15-Apr-20,27-Jul-20,Indigenous Arts and Culture,1-Jul-2020 to 30-Jun-2021,"180,427.00",No,No,NIAA 20/21 2.4 Culture and Capability,Indigenous Broadcasting Programme,IBM-2020-21-NT-TETI-Roper Gulf Regional Council,"Strategic activities to support Indigenous Australians to maintain their culture, participate equally in the economic and social life of the nation and that Indigenous organisations are capable of delivering quality services to their clients.",4-ENVVCK5,No,No,Roper Gulf Regional Council,94 746 956 090,KATHERINE EAST,KATHERINE EAST,850,NT,AUSTRALIA,NT,,AUSTRALIA,GA103888-V1 - Decrease of the grant value. (15-Mar-2021 ),Closed Non-Competitive,,,,,,,1-Jul-20,30-Jun-21,"180,427.00",,,,,,,,,,,,,,,,,,,,,,,,
GA103890,Solar PV System Installation,National Indigenous Australians Agency,4-Apr-19,27-Jul-20,Indigenous Communities,1-Jul-2020 to 30-Jun-2021,"46,399.10",No,No,NIAA 20/21 Aboriginal Benefit Account Special Account,Aboriginal Benefit Account Special Account,Solar PV System Installation,"Strategic activities that focus on getting Indigenous Australians into work, fostering Indigenous business and assisting Indigenous people to generate economic and social benefits from effective use of their land, particularly in remote areas.",4-DG0B2JJ,No,No,Ntjaminya General Store Aboriginal Corporation,90 315 164 312,ENGAWALA,ENGAWALA,872,NT,AUSTRALIA,NT,,AUSTRALIA,GA103890-V1 - Extension to the grant term. (11-Jan-2021 ),Open Competitive,,,,,,,1-Jul-20,30-Jun-21,"46,399.10",,,,,,,,,,,,,,,,,,,,,,,,
GA103891,Community Store Fuel System Installation,National Indigenous Australians Agency,14-Feb-19,27-Jul-20,Indigenous Communities,24-Jul-2020 to 31-Dec-2020,"211,231.90",No,No,NIAA 20/21 Aboriginal Benefit Account Special Account,Aboriginal Benefit Account Special Account,Community Store Fuel System Installation,"Strategic activities that focus on getting Indigenous Australians into work, fostering Indigenous business and assisting Indigenous people to generate economic and social benefits from effective use of their land, particularly in remote areas.",4-DFJ2X3N,No,No,Ntjaminya General Store Aboriginal Corporation,90 315 164 312,ENGAWALA,ENGAWALA,872,NT,AUSTRALIA,NT,,AUSTRALIA,,Open Competitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA106206,Gapuwiyak Culture and Arts Aboriginal Corporation Indigenous Visual Arts...,"Department of Infrastructure, Transport, Regional Development and Communications",6-May-20,28-Jul-20,Humanities,2-Jul-2020 to 30-Nov-2025,"990,000.00",No,No,ITCRD 20/21 2.1,Indigenous Visual Arts Industry Support,Gapuwiyak Culture and Arts Aboriginal Corporation Indigenous Visual Arts Industry Support,To support Gapuwiyak Culture and Arts Aboriginal Corporation to provide visual arts services to artists based in Gapuwiyak in remote East Arnhem Land and engage Indigenous arts workers.,IVAIS00303,No,No,Gapuwiyak Culture And Arts Aboriginal Corporation,44 638 734 357,Gapuwiyak,Gapuwiyak,880,NT,AUSTRALIA,NT,,AUSTRALIA,,Closed Non-Competitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA106209,Tapatjatjaka Art and Craft Aboriginal Corporation Indigenous Visual Arts...,"Department of Infrastructure, Transport, Regional Development and Communications",6-May-20,28-Jul-20,Humanities,2-Jul-2020 to 30-Nov-2023,"787,300.80",No,No,ITCRD 20/21 2.1,Indigenous Visual Arts Industry Support,Tapatjatjaka Art and Craft Aboriginal Corporation Indigenous Visual Arts Industry Support,To support Tapatjatjaka Arts to provide services to visual artists based in the Titjikala community and engage Indigenous arts workers.,IVAIS00316,No,No,Tapatjatjaka Art and Craft Aboriginal Corporation,53 916 725 096,Titjikala,Titjikala,872,NT,AUSTRALIA,NT,,AUSTRALIA,,Closed Non-Competitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA106210,Mutitjulu Community Aboriginal Corporation Indigenous Visual Arts...,"Department of Infrastructure, Transport, Regional Development and Communications",6-May-20,28-Jul-20,Humanities,2-Jul-2020 to 30-Nov-2023,"379,500.00",No,No,ITCRD 20/21 2.1,Indigenous Visual Arts Industry Support,Mutitjulu Community Aboriginal Corporation Indigenous Visual Arts Industry Support,To support the Grantee to deliver services to visual artists based in the Mutitjulu Community through Walkatjara Arts.,IVAIS00321,No,No,Mutitjulu Community Aboriginal Corporation,67 475 142 427,Uluru,Uluru,872,NT,AUSTRALIA,NT,,AUSTRALIA,,Closed Non-Competitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA106582,Alcohol and Other Drugs Management Program,National Indigenous Australians Agency,7-Apr-20,3-Aug-20,Indigenous Communities,1-Jul-2020 to 30-Jun-2023,"907,501.10",No,No,NIAA 20/21 2.3 Safety and Wellbeing,Safety and Wellbeing,Alcohol and Other Drugs Management Program,"Strategic activities that are about ensuring the ordinary law of the land applies in Indigenous communities, and that Indigenous people enjoy similar levels of physical, emotional and social wellbeing enjoyed by other Australians.",4-EFS69QS,No,No,Wurli-Wurlinjang Aboriginal Corporation,96 997 270 879,KATHERINE,KATHERINE,850,NT,AUSTRALIA,NT,,AUSTRALIA,GA106582-V1 - Decrease of the grant value. (28-Jan-2021 ),Closed Non-Competitive,,,,,,,1-Jul-20,30-Jun-23,"907,501.10",,,,,,,,,,,,,,,,,,,,,,,,
GA106587,IBM - 2020-2021 - NT - CA - Provision of Remote Indigenous Media...,National Indigenous Australians Agency,14-Apr-20,3-Aug-20,Indigenous Arts and Culture,1-Jul-2020 to 30-Jun-2021,"875,350.30",No,No,NIAA 20/21 2.4 Culture and Capability,Culture and Capability,IBM - 2020-2021 - NT - CA - Provision of Remote Indigenous Media Organisation Support Services,"Strategic activities to support Indigenous Australians to maintain their culture, participate equally in the economic and social life of the nation and that Indigenous organisations are capable of delivering quality services to their clients.",4-EH023AT,No,No,Warlpiri Media Aboriginal Corporation,65 345 684 535,YUENDUMU,YUENDUMU,872,NT,AUSTRALIA,NT,,AUSTRALIA,,Closed Non-Competitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA106593,Family Violence Prevention Legal Service,National Indigenous Australians Agency,15-Apr-20,3-Aug-20,Indigenous Communities,1-Jul-2020 to 30-Jun-2023,"5,531,202.79",No,No,NIAA 20/21 2.3 Safety and Wellbeing,Safety and Wellbeing,Family Violence Prevention Legal Service,"Strategic activities that are about ensuring the ordinary law of the land applies in Indigenous communities, and that Indigenous people enjoy similar levels of physical, emotional and social wellbeing enjoyed by other Australians.",4-ENOY826,No,No,CAAFLU Aboriginal Corporation,98 302 021 142,ALICE SPRINGS,ALICE SPRINGS,870,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA106593-V5 - Decrease of the grant value. (4-Nov-2021 )', 'GA106593-V4 - Increase of the grant value. (27-Oct-2021 )', 'GA106593-V3 - Increase of the grant value. (11-Oct-2021 )', 'GA106593-V2 - Increase of the grant value. (13-Jul-2021 )', 'GA106593-V1 - Decrease of the grant value. (6-Apr-2021 )']",Closed Non-Competitive,,,,,,,1-Jul-20,30-Jun-23,"4,833,477.19",1-Jul-20,30-Jun-23,"4,871,818.79",1-Jul-20,30-Jun-23,"5,531,202.79",1-Jul-20,30-Jun-23,"5,531,202.88",1-Jul-20,30-Jun-23,"5,531,202.79",,,,,,,,,,,,
GA106596,Homelands Power Upgrades,National Indigenous Australians Agency,1-Jan-20,3-Aug-20,Indigenous Communities,1-Jul-2020 to 31-Dec-2021,"1,141,126.00",No,No,NIAA 20/21 Aboriginal Benefit Account Special Account,Aboriginals Benefit Account,Homelands Power Upgrades,"Strategic activities that focus on getting Indigenous Australians into work, fostering Indigenous business and assisting Indigenous people to generate economic and social benefits from effective use of their land, particularly in remote areas.",4-EIV9LW5,No,No,West Daly Regional Council,25 966 579 574,DARWIN,DARWIN,800,NT,AUSTRALIA,NT,,AUSTRALIA,,Open Competitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA106713,Intensive Family Support Services,Department of Social Services,12-Jun-20,3-Aug-20,Community Development,29-Jul-2020 to 31-Oct-2021,"971,930.74",Yes,No,DSS 20/21 DSS Output 2.1 Families and Communities,Intensive Family Support Services,Intensive Family Support Services,To reduce child neglect IFSS,4-EWQL9LD,No,No,Yugul Mangi Development Aboriginal Corporation,40 710 772 364,NGUKURR,NGUKURR,852,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA106713-V2 - Change to End Date (28-May-2021 )', 'GA106713-V1 - Increase in funding (17-May-2021 )']",,,,,,,,29-Jul-20,30-Jun-21,"971,930.74",29-Jul-20,31-Oct-21,"971,930.74",,,,,,,,,,,,,,,,,,,,,
GA106718,Indigenous Employment Initiative Program,Department of Health,27-May-20,3-Aug-20,Indigenous Employment and Business,31-Jul-2020 to 30-Jun-2023,"1,996,111.69",No,No,DoH 20/21 Hlth Output 3.2 Aged Care Services,Indigenous Employment Initiative Program,Indigenous Employment Initiative Program,Indigenous Employment Initiative Program,4-ENAZ8N1,No,No,Roper Gulf Regional Council,94 746 956 090,KATHERINE EAST,KATHERINE EAST,850,NT,AUSTRALIA,NT,,AUSTRALIA,GA106718-V1 - Increase in funding (19-Oct-2021 ),Targeted or Restricted Competitive,GO2918,Indigenous Employment Initiative 2020-21 to 2022-23,,,,,31-Jul-20,30-Jun-23,"1,996,111.69",,,,,,,,,,,,,,,,,,,,,,,,
GA106723,Indigenous Employment Initiative Program,Department of Health,27-May-20,3-Aug-20,Indigenous Employment and Business,29-Jul-2020 to 30-Jun-2023,"3,437,654.60",No,No,DoH 20/21 Hlth Output 3.2 Aged Care Services,Indigenous Employment Initiative Program,Indigenous Employment Initiative Program,Indigenous Employment Initiative Program,4-EMSPAKM,No,No,Barkly Regional Council,32 171 281 456,TENNANT CREEK,TENNANT CREEK,860,NT,AUSTRALIA,NT,,AUSTRALIA,GA106723-V1 - Increase in funding (19-Oct-2021 ),Targeted or Restricted Competitive,GO2918,Indigenous Employment Initiative 2020-21 to 2022-23,,,,,29-Jul-20,30-Jun-23,"3,437,654.60",,,,,,,,,,,,,,,,,,,,,,,,
GA106746,COVID-19 Aged Care Continuity of Workforce,Department of Health,14-Jul-20,3-Aug-20,Aged Care,27-Jul-2020 to 31-Mar-2021,"60,120.00",No,No,DoH 20/21 Health Output 6.2 2018-19 Aged Care Services,COVID-19 AC Continuity of Workforce,COVID-19 Aged Care Continuity of Workforce,COVID-19 Aged Care Continuity of Workforce,4-EWW04JG,No,No,East Arnhem Regional Council,92 334 301 078,NHULUNBUY,NHULUNBUY,880,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA106746-V2 - Change to End Date (9-Mar-2021 )', 'GA106746-V1 - Increase in funding (11-Feb-2021 )']",Demand Driven,GO4068,Aged Care Workforce Retention,,,,,27-Jul-20,30-Nov-20,"60,120.00",27-Jul-20,31-Mar-21,"60,120.00",,,,,,,,,,,,,,,,,,,,,
GA107093,COVID-19 Aged Care Continuity of Workforce,Department of Health,14-Jul-20,3-Aug-20,Aged Care,27-Jul-2020 to 31-Mar-2021,"31,800.00",No,No,DoH 20/21 Health Output 6.2 2018-19 Aged Care Services,COVID-19 AC Continuity of Workforce,COVID-19 Aged Care Continuity of Workforce,COVID-19 Aged Care Continuity of Workforce,4-EWOJ6NV,No,No,Western Desert Nganampa Walytja Palyantjaku Tjutaku Aboriginal Corporation,94 755 012 884,GILLEN,GILLEN,870,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA107093-V2 - Change to End Date (12-Mar-2021 )', 'GA107093-V1 - Increase in funding (26-Feb-2021 )']",Demand Driven,GO4068,Aged Care Workforce Retention,,,,,27-Jul-20,30-Nov-20,"31,800.00",27-Jul-20,31-Mar-21,"31,800.00",,,,,,,,,,,,,,,,,,,,,
GA107543,National Aboriginal and Torres Strait Islander Flexible Aged Care,Department of Health,3-Jul-20,10-Aug-20,Aged Care,6-Aug-2020 to 30-May-2021,"97,706.02",No,No,DoH 20/21 Health Output 6.3 2018-19 Aged Care Quality,National Aboriginal and Torres Strait Islander Flexible Aged Care,National Aboriginal and Torres Strait Islander Flexible Aged Care,"One-off funding to undertake minor works, maintenance, equipment purchases and activities to support the delivery of aged care services under the National Aboriginal & Torres Strait Islander Flexible Aged Care Program.",4-EWW5CCK,No,No,MacDonnell Regional Council,21 340 804 903,ALICE SPRINGS,ALICE SPRINGS,870,NT,AUSTRALIA,NT,,AUSTRALIA,GA107543-V1 - Change to End Date (11-Feb-2021 ),Targeted or Restricted Competitive,GO2575,National Aboriginal and Torres Strait Islander Flexible Aged Care Program - 2019-20 Bi-Annual One Off Grant Opportunity,,,,,6-Aug-20,30-May-21,"97,706.02",,,,,,,,,,,,,,,,,,,,,,,,
GA107547,National Aboriginal and Torres Strait Islander Flexible Aged Care,Department of Health,3-Jul-20,10-Aug-20,Aged Care,6-Aug-2020 to 31-May-2021,"121,196.90",No,No,DoH 20/21 Health Output 6.3 2018-19 Aged Care Quality,National Aboriginal and Torres Strait Islander Flexible Aged Care,National Aboriginal and Torres Strait Islander Flexible Aged Care,"One-off funding to undertake minor works, maintenance, equipment purchases and activities to support the delivery of aged care services under the National Aboriginal & Torres Strait Islander Flexible Aged Care Program.",4-EWW5CPG,No,No,Mala'la Health Service Aboriginal Corporation,89 357 836 457,MANINGRIDA,MANINGRIDA,822,NT,AUSTRALIA,NT,,AUSTRALIA,GA107547-V1 - Change to End Date (3-Feb-2021 ),Targeted or Restricted Competitive,GO2575,National Aboriginal and Torres Strait Islander Flexible Aged Care Program - 2019-20 Bi-Annual One Off Grant Opportunity,,,,,6-Aug-20,31-May-21,"121,196.90",,,,,,,,,,,,,,,,,,,,,,,,
GA108258,Injalak Arts and Crafts Aboriginal Corporation Indigenous Visual Arts...,"Department of Infrastructure, Transport, Regional Development and Communications",6-May-20,19-Aug-20,Humanities,14-Aug-2020 to 30-Nov-2025,"1,540,000.00",No,No,ITCRD 20/21 2.1,Indigenous Visual Arts Industry Support,Injalak Arts and Crafts Aboriginal Corporation Indigenous Visual Arts Industry Support,To support Injalak Arts to provide services to visual artists based in the Gunbalanya community and engage Indigenous arts workers.,IVAIS00341,No,No,Injalak Arts & Crafts Aboriginal Corporation,76 842 979 851,Gunbalanya,Gunbalanya,822,NT,AUSTRALIA,NT,,AUSTRALIA,,Closed Non-Competitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA109126,Tjuwanpa Media Enterprise Project,National Indigenous Australians Agency,2-Nov-19,24-Aug-20,Indigenous Communities,1-Jul-2020 to 30-Jun-2021,"514,026.38",No,No,NIAA 20/21 Aboriginal Benefit Account Special Account,Aboriginals Benefit Account,Tjuwanpa Media Enterprise Project,"Strategic activities that focus on getting Indigenous Australians into work, fostering Indigenous business and assisting Indigenous people to generate economic and social benefits from effective use of their land, particularly in remote areas.",4-F1M34ZB,No,No,Tjuwanpa Outstation Resource Centre (Aboriginal Corporation) Via Hermannsburg,34 131 576 674,VIA HERMANNSBURG,VIA HERMANNSBURG,872,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA109126-V2 - Decrease of the grant value. (4-Nov-2021 )', 'GA109126-V1 - Increase of the grant value. (27-Oct-2021 )']",Open Competitive,,,,,,,1-Jul-20,30-Jun-21,"514,026.39",1-Jul-20,30-Jun-21,"514,026.38",,,,,,,,,,,,,,,,,,,,,
