,Start Date,End Date,Project Name,Recipient,Value,Project ID,Community ID,Local Government,Land Council
3,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,134.90",GA101819,131,Macdonnell,Central Land Council
4,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,134.90",GA101819,145,Macdonnell,Central Land Council
5,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,046.25",GA101820,20,Macdonnell,Central Land Council
6,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,046.25",GA101820,36,Macdonnell,Central Land Council
7,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,046.25",GA101820,41,Macdonnell,Central Land Council
8,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,046.25",GA101820,43,Macdonnell,Central Land Council
9,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,046.25",GA101820,66,Macdonnell,Central Land Council
10,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,046.25",GA101820,72,Macdonnell,Central Land Council
11,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,046.25",GA101820,112,Macdonnell,Central Land Council
0,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,046.25",GA101820,131,Macdonnell,Central Land Council
1,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,046.25",GA101820,145,Macdonnell,Central Land Council
2,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,904.5,GA101822,20,Macdonnell,Central Land Council
0,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,904.5,GA101822,36,Macdonnell,Central Land Council
1,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,904.5,GA101822,41,Macdonnell,Central Land Council
2,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,904.5,GA101822,43,Macdonnell,Central Land Council
3,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,904.5,GA101822,66,Macdonnell,Central Land Council
4,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,904.5,GA101822,72,Macdonnell,Central Land Council
0,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,904.5,GA101822,112,Macdonnell,Central Land Council
1,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,904.5,GA101822,131,Macdonnell,Central Land Council
2,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,904.5,GA101822,145,Macdonnell,Central Land Council
3,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,428.67,GA101830,20,Macdonnell,Central Land Council
0,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,428.67,GA101830,41,Macdonnell,Central Land Council
1,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,428.67,GA101830,43,Macdonnell,Central Land Council
2,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,428.67,GA101830,66,Macdonnell,Central Land Council
3,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,428.67,GA101830,72,Macdonnell,Central Land Council
4,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,428.67,GA101830,112,Macdonnell,Central Land Council
5,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,428.67,GA101830,131,Macdonnell,Central Land Council
6,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,428.67,GA101830,145,Macdonnell,Central Land Council
7,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,381.42,GA101831,20,Macdonnell,Central Land Council
8,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,381.42,GA101831,36,Macdonnell,Central Land Council
9,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,381.42,GA101831,41,Macdonnell,Central Land Council
10,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,381.42,GA101831,43,Macdonnell,Central Land Council
0,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,381.42,GA101831,66,Macdonnell,Central Land Council
1,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,381.42,GA101831,72,Macdonnell,Central Land Council
2,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,381.42,GA101831,112,Macdonnell,Central Land Council
3,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,381.42,GA101831,131,Macdonnell,Central Land Council
4,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,381.42,GA101831,145,Macdonnell,Central Land Council
5,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,ONE TREE COMMUNITY SERVICES INC,"56,704.41",GA102088,10677,Coomalie,Northern Land Council
6,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,ONE TREE COMMUNITY SERVICES INC,"56,704.41",GA102088,603,Victoria Daly,Central Land Council
7,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,ONE TREE COMMUNITY SERVICES INC,"56,704.41",GA102088,426,West Daly,Northern Land Council
8,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,ONE TREE COMMUNITY SERVICES INC,"56,704.41",GA102088,658,Victoria Daly,Northern Land Council
9,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,ONE TREE COMMUNITY SERVICES INC,"52,081.92",GA102115,10677,Coomalie,Northern Land Council
10,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,ONE TREE COMMUNITY SERVICES INC,"52,081.92",GA102115,603,Victoria Daly,Central Land Council
11,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,ONE TREE COMMUNITY SERVICES INC,"52,081.92",GA102115,426,West Daly,Northern Land Council
12,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,ONE TREE COMMUNITY SERVICES INC,"52,081.92",GA102115,658,Victoria Daly,Northern Land Council
13,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,ONE TREE COMMUNITY SERVICES INC,"11,178.45",GA102621,10677,Coomalie,Northern Land Council
14,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,ONE TREE COMMUNITY SERVICES INC,"11,178.45",GA102621,603,Victoria Daly,Central Land Council
15,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,ONE TREE COMMUNITY SERVICES INC,"11,178.45",GA102621,426,West Daly,Northern Land Council
16,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,ONE TREE COMMUNITY SERVICES INC,"11,178.45",GA102621,658,Victoria Daly,Northern Land Council
17,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,ONE TREE COMMUNITY SERVICES INC,"10,732.50",GA102632,10677,Coomalie,Northern Land Council
18,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,ONE TREE COMMUNITY SERVICES INC,"10,732.50",GA102632,603,Victoria Daly,Central Land Council
19,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,ONE TREE COMMUNITY SERVICES INC,"10,732.50",GA102632,426,West Daly,Northern Land Council
20,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,ONE TREE COMMUNITY SERVICES INC,"10,732.50",GA102632,658,Victoria Daly,Northern Land Council
21,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,ONE TREE COMMUNITY SERVICES INC,"1,113.75",GA102848,10677,Coomalie,Northern Land Council
22,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,ONE TREE COMMUNITY SERVICES INC,"1,113.75",GA102848,603,Victoria Daly,Central Land Council
23,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,ONE TREE COMMUNITY SERVICES INC,"1,113.75",GA102848,426,West Daly,Northern Land Council
24,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,ONE TREE COMMUNITY SERVICES INC,"1,113.75",GA102848,658,Victoria Daly,Northern Land Council
25,1/07/2020,30/06/2021,IBM-2020-21-NT-TETI-ROPER GULF REGIONAL COUNCIL,ROPER GULF REGIONAL COUNCIL,"180,427.00",GA103888-V1,441,Roper Gulf,Northern Land Council
26,1/07/2020,30/06/2021,IBM-2020-21-NT-TETI-ROPER GULF REGIONAL COUNCIL,ROPER GULF REGIONAL COUNCIL,"180,427.00",GA103888-V1,449,Roper Gulf,Northern Land Council
27,1/07/2020,30/06/2021,IBM-2020-21-NT-TETI-ROPER GULF REGIONAL COUNCIL,ROPER GULF REGIONAL COUNCIL,"180,427.00",GA103888-V1,754,Roper Gulf,Northern Land Council
28,1/07/2020,30/06/2021,IBM-2020-21-NT-TETI-ROPER GULF REGIONAL COUNCIL,ROPER GULF REGIONAL COUNCIL,"180,427.00",GA103888-V1,1011,Roper Gulf,Northern Land Council
29,1/07/2020,30/06/2021,IBM-2020-21-NT-TETI-ROPER GULF REGIONAL COUNCIL,ROPER GULF REGIONAL COUNCIL,"180,427.00",GA103888-V1,577,Roper Gulf,Northern Land Council
30,1/07/2020,30/06/2021,IBM-2020-21-NT-TETI-ROPER GULF REGIONAL COUNCIL,ROPER GULF REGIONAL COUNCIL,"180,427.00",GA103888-V1,811,Roper Gulf,Northern Land Council
31,1/07/2020,30/06/2021,IBM-2020-21-NT-TETI-ROPER GULF REGIONAL COUNCIL,ROPER GULF REGIONAL COUNCIL,"180,427.00",GA103888-V1,946,Roper Gulf,Northern Land Council
32,1/07/2020,30/06/2021,IBM-2020-21-NT-TETI-ROPER GULF REGIONAL COUNCIL,ROPER GULF REGIONAL COUNCIL,"180,427.00",GA103888-V1,579,Roper Gulf,Northern Land Council
33,1/07/2020,30/06/2021,IBM-2020-21-NT-TETI-ROPER GULF REGIONAL COUNCIL,ROPER GULF REGIONAL COUNCIL,"180,427.00",GA103888-V1,580,Roper Gulf,Northern Land Council
34,1/07/2020,30/06/2021,IBM-2020-21-NT-TETI-ROPER GULF REGIONAL COUNCIL,ROPER GULF REGIONAL COUNCIL,"180,427.00",GA103888-V1,212,Roper Gulf,Northern Land Council
35,1/07/2020,30/06/2021,IBM-2020-21-NT-TETI-ROPER GULF REGIONAL COUNCIL,ROPER GULF REGIONAL COUNCIL,"180,427.00",GA103888-V1,581,Roper Gulf,Northern Land Council
36,1/07/2020,30/06/2021,IBM-2020-21-NT-TETI-ROPER GULF REGIONAL COUNCIL,ROPER GULF REGIONAL COUNCIL,"180,427.00",GA103888-V1,810,Roper Gulf,Northern Land Council
37,1/07/2020,30/06/2021,IBM-2020-21-NT-TETI-ROPER GULF REGIONAL COUNCIL,ROPER GULF REGIONAL COUNCIL,"180,427.00",GA103888-V1,24899,Roper Gulf,Northern Land Council
38,1/07/2020,30/06/2021,IBM-2020-21-NT-TETI-ROPER GULF REGIONAL COUNCIL,ROPER GULF REGIONAL COUNCIL,"180,427.00",GA103888-V1,583,Roper Gulf,Northern Land Council
39,1/07/2020,30/06/2021,IBM-2020-21-NT-TETI-ROPER GULF REGIONAL COUNCIL,ROPER GULF REGIONAL COUNCIL,"180,427.00",GA103888-V1,11092,Roper Gulf,Northern Land Council
0,1/07/2020,30/06/2021,IBM-2020-21-NT-TETI-ROPER GULF REGIONAL COUNCIL,ROPER GULF REGIONAL COUNCIL,"180,427.00",GA103888-V1,986,Roper Gulf,Northern Land Council
1,1/07/2020,30/06/2021,IBM-2020-21-NT-TETI-ROPER GULF REGIONAL COUNCIL,ROPER GULF REGIONAL COUNCIL,"180,427.00",GA103888-V1,257,Roper Gulf,Northern Land Council
2,1/07/2020,30/06/2021,IBM-2020-21-NT-TETI-ROPER GULF REGIONAL COUNCIL,ROPER GULF REGIONAL COUNCIL,"180,427.00",GA103888-V1,587,Roper Gulf,Northern Land Council
