Column1,Community Name,Community ID,Aliases,Local Government,Main Language,Land Council,Other Languages,Electorate,Population,Longitude,Latitude,Location
640,Alyangula - Town,10270,Alyangula Town,Un-Incorporated (alyangula),Not recorded,Anindilyakwa Land Council,Not recorded,Arnhem,,136.419,-13.851,On northwest corner of Groote Eylandt. Groote Eylandt is around 650 km east of Darwin and 50 km off the Arnhem Land coast in Australia's Gulf of Carpentaria. It is Australia's third largest island. The island is approximately 60 km north south and 40 km east west. It contains a number of rivers and streams which may make travel throughout the island difficult. On the island there is an 18km bitumen road from Alyangula to Angurugu (takes 20 minutes). Most other roads are dirt so a 4-wheel drive is essential.
315,Alyarpere - Family Outstation,24991,Shannon Bore,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,5,134.493,-23.708,
717,Alyingberrma - Family Outstation,442,Alyingbarruma and Qantas,East Arnhem,Not recorded,Anindilyakwa Land Council,Not recorded,Arnhem,,136.817,-13.809,"On the eastern side of the spit approx 5 km north of Umbakumba, APPROX 5 KM FROM UMBAKUMBA"
706,Alyuen - Family Outstation,2,"Aileron, Alum and Alum Camp",Central Desert,Not recorded,Central Land Council,Not recorded,Barkly,23,133.351,-22.669,"Alyuen is located 130km north of Alice Springs, 2km west of the Stuart Hwy."
141,Amanbidji - Major,622,"Amanbidgee Station, Kildurk and Mialuni",Victoria Daly,Ngarinyman / Kriol,Northern Land Council,Not recorded,Gwoja,83,129.619,-16.428,Amanbidji is located south east of Katherine on the Nagurunguru Aboriginal Land Trust near the West Baines River.
470,Amanburnunga - Family Outstation,445,"Amenbunua, Amengunua, Dalumba Bay, Dalumbu Bay and Salt Lake",East Arnhem,Not recorded,Anindilyakwa Land Council,Not recorded,Arnhem,,136.695,-13.926,
189,Amangal Indigenous Village - Town Camp,427,"Adelaide River Community, Adelaide River Town Camp, Amangal, Wairia and Wairia Assoc",Coomalie,Not recorded,Northern Land Council,Not recorded,Daly,36,131.104,-13.245,111 km FROM DARWIN GPO
555,Amatjatpalk - Family Outstation,282,"Amadji Balk, Amadjibal, Amadjibalk, Amaljatpalk, Goulburn Island and South Goulburn",West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,,133.455,-11.595,16 km FROM WARRUWI
65,Amengernterneah - Family Outstation,104,"Health Centre, Mingintirnina, Urapentye, Urapuntja Health Centre and Utopia Clinic",Barkly,Not recorded,Central Land Council,Not recorded,Barkly,,134.842,-21.898,"000 N 53K0483603 E UTM 7578101, 282KMS VIA SANDOVER H'WAY
5KMS NORTH OF H'WAY"
193,Amirraba - Family Outstation,446,8 Mile and Eight Mile,East Arnhem,Not recorded,Anindilyakwa Land Council,Not recorded,Arnhem,,136.858,-13.909,
153,Amoonguna - Major,9,,Macdonnell,Eastern Arrente,Central Land Council,Not recorded,Namatjira,281,133.936,-23.766,Amoonguna is located on the Amoonguna Aboriginal Land Trust just to the south east of Alice Springs.
597,Ampilatwatja - Major,10,"Aharreng, Aherre, Ammaro, Ammaroo, Amperlatwatye and Honeymoon Bore",Barkly,Alyawarr,Central Land Council,Not recorded,Barkly,491,135.225,-21.657,"Ampilatwatja is located north east of Alice Springs on the Aherrenge Aboriginal Land Trust. The community is surrounded by the pastoral properties of Ammaroo, Derry Downs and Elkedra."
185,Amputjuta - Family Outstation,11,Umputjuta,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,,129.123,-24.93,675 KMS VIA DOCKER RVR
122,Amundurngua - Family Outstation,761,,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,5,131.423,-23.271,"10KMS SOUTH OF ROAD VIA INGALINGY, 300KMS VIA PAPUNYA"
527,Andanangki - Family Outstation,449,"Andananggki, Andananki, Andhananggi and Walker River",Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,16,135.765,-13.61,
103,Angas Downs - Family Outstation,13,Angus Downs,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,5,132.274,-25.034,"Angas Downs is located south west of Alice Springs, the safest and recommended route is approximately 330km via the Lasseter Highway while the shorter route (280km) via the Ernest Giles road is 4WD only. Angas downs is approximately 70km west by road from Imanpa. "
255,Angatyepe - Family Outstation,916,,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,13,133.728,-23.745,"One of a number of living areas established on the Iwupataka land Trust.  Left hand side Larapinta Drive after Roe Creek Crossing., 21 km from Alice Springs"
66,Angkerle Arrenge (a) - Family Outstation,917,,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,13,133.48,-23.746,"48 km by road from Alice Springs
"
424,Angkerle Arrenge (b) - Family Outstation,918,,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,5,133.48,-23.739,49 km by road from Alice Springs
394,Angula - Family Outstation,12,Angkola and Angkula,Central Desert,Not recorded,Central Land Council,Not recorded,Barkly,8,134.217,-22.558,"15 EAST OF SANDOVER HIGHWAY.  '92 ATSIC, 190KMS NORTHEAST OF A/S"
564,Angurugu - Major,451,,East Arnhem,Anindilyakwa,Anindilyakwa Land Council,Not recorded,Arnhem,1005,136.461,-13.982,Angurugu is located on the banks of the Angurugu River half way down the western coast of Groote Eylandt.
61,Angwura - Family Outstation,960,"Angurrkurrikba, Anguwarrmanja, Central Lake and Salt Lake",East Arnhem,Not recorded,Anindilyakwa Land Council,Not recorded,Arnhem,5,136.726,-13.919,
67,Ankabadbirri - Family Outstation,285,An-Gabarrbirriya and Angababirrayi,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,18,134.42,-12.257,"Angababirrayi is located 35km by road south east of Maningrida. Driving time is about 40 minutes and access is possible most of the year., 35 km SE OF MANINGRIDA"
184,Ankerrapw - Family Outstation,170,"Angkarripa, Angkwetengarenye, Ankarripa, Old Utopia Homestead and Utopia Homestead",Barkly,Not recorded,Central Land Council,Not recorded,Barkly,,134.563,-22.23,"021N 53k0454802 E UTM7541446, 225KMS VIA SANDOVER H'WAY
5KMS EAST OF H'WAY"
192,Ankweleyelengkwe - Family Outstation,823,Amarelengkwe and Wild Plum,Central Desert,Not recorded,Central Land Council,Not recorded,Barkly,8,133.755,-21.597,16KMS SOUTH WEST OF BARROW CRK ROADHOUSE.  TURN IN WHERE WHITE POSTS AND GRID ARE ON WESTERN SIDE OF HIGHWAY.  COMMUNITY VISIBLE FROM ROAD
168,Annerre - Family Outstation,1021,,Barkly,Not recorded,Central Land Council,Not recorded,Barkly,,134.001,-21.262,"
Thangkenharenge Resource Centre 
Yapakurlangu
about 25-30km North of Barrow Creek (within Living area NT Por 4849)"
258,Anningie - Family Outstation,14,Yanginj,Central Desert,Not recorded,Central Land Council,Not recorded,Barkly,,133.144,-21.835,250KMS NORTH OF A/S
237,Antere - Family Outstation,788,"Colsons Well, Goyder Sr and Jokers Camp",Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,,134.409,-25.663,"1:250,000 TOPOGRAPHICAL MAP REF SG 53-6 FINKE.

19.5 KMS SW OF FINKE ALONG FINKE/KULGERA ROAD, THENCE 0.7 KMS S OF ROAD.





, 411 KMS SOUTH OF ASP VIA STUART HIGHWAY TO KULGERA, THENCE ALONG KULGERA /FINKE ROAD."
253,Anthelk Ewlpaye - Town Camp,16,"Anthe Ewlpaye, Anthe-Ewlpaye, Anthelk-Ewlpaye, Charles Creek and Charles River",Alice Springs,Not recorded,Central Land Council,Not recorded,Namatjira,68,133.879,-23.69,ALICE SPRINGS TOWN CAMP
421,Anthepe - Town Camp,17,"Drive In, Drive-In and Ntapa",Alice Springs,Not recorded,Central Land Council,Not recorded,Namatjira,60,133.866,-23.758,ALICE SPRINGS TOWN CAMP
82,Aper Alwerrknge - Town Camp,19,"Aper Alnerrknge, Aper Alwerrnge, Aper-Alnerrknge, Aper-Alwerrknge, Aper-Alwerrnge, Palmer's Camp and Palmers Camp",Alice Springs,Not recorded,Central Land Council,Not recorded,Namatjira,42,133.871,-23.668,ALICE SPRINGS TOWN CAMP
623,Ararlagu - Family Outstation,335,"Illiaru, North Goulburn, North Goulburn Island and Weira",West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,,133.398,-11.527,ACCESS BY BOAT.
681,Araru Point - Family Outstation,288,Araru,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,8,131.878,-11.194,"Araru Point is located approx 168km north of Murgenella .
75 km OFF THE ROAD TO BLACK POINT"
278,Arawerr - Minor,147,"Arrawarra, Iyngiynyala and Soapy Bore",Barkly,Not recorded,Central Land Council,Not recorded,Barkly,102,134.846,-22.014,"021 N 53K04833943  E UTM7565440, 277KMS VIA SANDOVER H'WAY
1KM EAST OF H'WAY"
284,Areyonga - Major,20,Utju,Macdonnell,Pitjantjatjara,Central Land Council,"Luritja/Pintubi, Western Arrente",Gwoja,229,132.271,-24.074,Areyonga is located west of Alice Springs within the crevice of the surrounding hills on the Haasts Bluff Aboriginal Land Trust.
144,Arkanta - Family Outstation,1023,"Akanta, Arkarnta, No 5 Bore and No.5 Bore",Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,8,132.82,-24.521,"NT Por 3814 Akanta Aboriginal Land Trust 47Km along Ernest Giles Rd from  South Stuart Hwy of Alice Springs

Ngurratjuta Resource Centre
Central Remote"
386,Arlparra - Family Outstation,168,"Ahalpere, Angarapa, New Shop, Urapuntja Store and Utopia New Store",Barkly,Alyawarr,Central Land Council,Not recorded,Barkly,59,134.775,-22.088,The community is located 270km northeast of Alice Springs via Sandover H'way on the eastern perimeter of the Western Desert 'block' next to the traditional land of the Eastern Anmatyarre and Alyawarre people.
581,Armorran - Family Outstation,968,,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,8,133.381,-11.756,Armorran is approx 8km south of Warruwi  on the mainland and is approx 100km north of Oenpelli.
712,Armstrongs - Family Outstation,79,"Armstrong's Camp, Kunoth, Kunoths and Kunoths' Camp",Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,8,132.68,-23.879,"15KMS WEST OF H'BURG.*** '92 ATSIC NEEDS, 135KMS VIA HERMANNSBURG"
578,Arrawajin - Family Outstation,735,"Arrajawin, Arranjin and Whistle Duck",Barkly,Not recorded,Central Land Council,Not recorded,Barkly,,134.976,-20.518,130km S/W from Tennant Creek
661,Arrgamurrmur - Family Outstation,893,"Argamurrmurr, Keith Williams and Keith Williams Outstation",West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,,132.61,-11.174,12km by road from Minjilang
595,Arrillhjere - Family Outstation,919,Arrlihjere,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,5,133.626,-23.78,"JAY CREEK -  One of a number of Outstations on the Iwupataka Land Trust, 31 km by road from Alice Springs"
177,Arrkapa - Family Outstation,21,"Arkanaputa, Arkankaputa, Arkappa, Arrkarnkaputa and Dennis's",Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,7,132.829,-23.982,"10KMS EAST OF H'BURG .*** '92 ATSIC NEED, 135KMS VIA H'BURG"
300,Arrunge - Family Outstation,910,Ferdies Bore and Garden Bore,Central Desert,Not recorded,Central Land Council,Not recorded,Gwoja,5,132.281,-22.499,"885 Town of Yuendumu - Papunya
GPS 9/10/97; 40KM FROM YUENDUMU
NT POR 3038 - YALPIRAKINU ABORIGINAL LAND TRUST"
710,Artekerr - Family Outstation,22,"Artekkerre, Atikirra and Three Bores",Barkly,Not recorded,Central Land Council,Not recorded,Barkly,28,134.543,-22.29,"021 N 53K0452831 EUTM7534853, 234KMS VIA SANDOVER H'WAY"
176,Artekerre - Family Outstation,712,"Arterre, Harry Creek and Mcgrath Flat",Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,31,133.767,-23.257,"The outstation is 54km by road from Alice Springs., Outstation is 54km by road from Alice Springs, turn off the Stuart Hwy 51.5km from Alice Springs. Then 2.6km to the outstation. Access from the Hwy is a flat-bladed track passable to 2WD vehicles in wet weather."
158,Atheley - Family Outstation,729,Athiliya and Sillya,Barkly,Not recorded,Central Land Council,Not recorded,Barkly,87,134.868,-21.918,"745  N 53K0486140  E UTM 7579064
, 255KMS NORTH EAST OF A/S
SITED ON SANDOVER H'WAY."
398,Atitjere - Major,42,"Arltarlpilta, Hart Range and Harts Range",Central Desert,Eastern Arrente,Central Land Council,Not recorded,Namatjira,263,134.934,-22.984,Atitjere is a Community Living Area within the Mount Riddock Pastoral Property at the base of the Harts Ranges .
240,Atji Creek - Family Outstation,1015,,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,5,131.984,-23.399,"Approx 19km from Haast Bluff along road to Papunya, approx 2km along track to west of road.
Townsite of Haasts Bluff"
476,Atnarara - Family Outstation,146,"Ahalperarenye, Atnararra, Soakage and Soakage Bore",Barkly,Not recorded,Central Land Council,Not recorded,Barkly,53,134.787,-22.026,"021 N 53K0477802  E UTM 7564094, 262KMS VIA SANDOVER H'WAY
1KMS WEST OF H'WAY"
699,Atnarpa - Family Outstation,24995,,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,5,134.789,-23.524,
556,Atneltyey - Family Outstation,27,"Allalgara Annangara, Aniltjiy, Atneltyeye and Boundary Bore",Barkly,Not recorded,Central Land Council,Not recorded,Barkly,43,134.612,-22.037,"021 N 53K0459866  E UTM 7562704, 254KMS NORTHEAST OF A/S
12.5 KM N. OF SANDOVER H'
"
696,Atnwengerrpe - Family Outstation,23,"Ammaroo, Atnungurrpa, Atnwengerrp, Quart Pot and Quart Pots",Barkly,Not recorded,Central Land Council,Not recorded,Barkly,30,134.994,-21.87,"021 53K0499218  E UTM7581420, 290KMS FROM A/S VIA SANDOVER HIG"
642,Awumbunyji - Family Outstation,754,,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,135.435,-14.447,
45,Babungi - Family Outstation,1011,Babunji and Victoria Bay,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,5,136.979,-15.744,"Garrak-Jarru ATSIC region
Vanderlin Island - NT Portion 1737"
267,Badawarrka - Family Outstation,577,"Badanarrkka, Badawaka, Baddawarrku, Buddawarka and Five Mile Camp",Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,7,134.444,-14.696,41 km W. NGUKURR
12,Baghetti - Family Outstation,811,,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,5,134.464,-13.759,Located approximately 20 km east of Bulman
406,Bagot - Town Camp,290,,Darwin,Not recorded,Northern Land Council,Not recorded,Fannie Bay,203,130.855,-12.416,N/A
79,Bajaminyi - Family Outstation,209,Baramingi and Fish River,Barkly,Not recorded,Northern Land Council,Not recorded,Barkly,,137.712,-17.775,
520,Balma - Family Outstation,456,,East Arnhem,Not recorded,Northern Land Council,Not recorded,Arnhem,8,135.849,-13.249,"100km from Gapuwiyak, 100km 4wd access in dry only"
208,Bamboo Springs - Family Outstation,578,Jirrngow,Victoria Daly,Not recorded,Central Land Council,Not recorded,Gwoja,,129.084,-16.96,"Bamboo Springs is located approx 210km by road south east of Kununurra and 420km from Kalkarindji., Road access from Kalkarindji is via the Buchanan Hwy and along the Duncan Road. The Duncan Rd is a gravelled track, impassable during the wet season."
324,Banatjarl - Family Outstation,946,King Valley and King Valley Station,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,132.651,-14.477,"Road access is via the Stuart Hwy for 44km and the gravelled King Valley road for 20km and is possible most of the year., King Valley Station is located approx 64km by road south of Katherine"
496,Baniyala - Minor,458,Banyala and Yilpara,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,100,136.226,-13.2,206 KM FROM GOVE
538,Banthula - Family Outstation,457,"Ban'tala, Bandhula, Bant'thula, Gampura and Ganpura",East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,25,135.874,-11.836,Approximately 53 km east of Galiwinku on Elcho Island.
624,Bardalumba - Family Outstation,865,Bartalumba Bay and Bartelumba,East Arnhem,Not recorded,Anindilyakwa Land Council,Not recorded,Arnhem,11,136.449,-13.824,12 km FROM ANGURUGU
320,Barrak Barrak - Family Outstation,699,"Barrac Barrac, Mayamum and Mayamumosin",Victoria Daly,Not recorded,Northern Land Council,Not recorded,Gwoja,,130.359,-15.872,"Road access is via the Victoria Highway and then through the Gregory River National Park. Access is good most of the year., Barrac Barrac is located approx 60km by road south east of Timber Creek."
266,Barrapunta - Family Outstation,579,"Banapinta, Banurrpanda and Emu Springs",Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,5,134.851,-13.157,"Also known as Emu Springs, is located 88km north east of Bulman."
331,Barraratjpi - Family Outstation,938,,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,5,136.391,-13.219,Approx 190 km SW of Nhulunbuy off the Djarrakpi track
24,Barridjowkeng - Family Outstation,792,Barridjowen and Barrihyowkeng,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,5,134.175,-12.349,
60,Barrkira - Family Outstation,888,,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,5,136.465,-12.009,
98,Barunga - Major,580,Bamyili,Roper Gulf,Eastside Kriol,Northern Land Council,Not recorded,Arnhem,427,132.867,-14.524,Barunga is located east of Katherine on the Beswick Aboriginal Land Trust.
721,Batchelor - Village,10677,,Coomalie,Not recorded,Northern Land Council,Not recorded,Daly,,131.029,-13.046,The town is about 100 km south of Darwin and is the entry point for visitors to the stunning Litchfield National Park. A sealed road provides access to the town.
606,Bauhinia Downs - Family Outstation,212,Gurdanji Bingbinga,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,11,135.47,-16.215,
198,Bawaka - Family Outstation,462,,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,5,136.764,-12.534,About 90 minutes drive from Nhulunbuy near entrance to Port Bradshaw. Much driving on sand/beach. No airstrip.
352,Bayagida - Family Outstation,494,"Galungali, Galunguli, Rapuma, Rapuma Galingulla, Rapuma Island and Yabooma Island",East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,,134.928,-12.043,"Via Milingimbi - 7km by sea, 250 from Nhulunbuy"
22,Baygurrtji - Family Outstation,463,Bagurritji and Baykurrtji,East Arnhem,Not recorded,Northern Land Council,Not recorded,Arnhem,5,135.867,-13.158,"103km south of Gapuwiyak, 103km"
271,Beer St Bore - Family Outstation,844,,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,,134.526,-25.583,"1:250,000 TOPOGRAPHICAL MAP REF SG 53-6 FINKE.

2.9 KMS SW OF FINKE ALONG FINKE/KULGERA ROAD THENCE 4.3 KMS NW OF ROAD., 431 KMS SOUTH OF ASP VIA STUART HIGHWAY TO KULGERA AND THENCE ALONG KULGERA/FINKE ROAD."
707,Belyuen - Major,294,Delisaville and Delissaville,Belyuen,Kriol,Northern Land Council,Not recorded,Daly,193,130.7,-12.539,Belyuen is located west of Darwin across the Darwin Harbour on the Delissaville/Wagait/Larrakia Aboriginal Land Trust.
150,Berraja - Family Outstation,295,Berbaja and Berraiya,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,,134.505,-12.072,
744,Beswick - Major,581,Wugularr,Roper Gulf,Eastside Kriol,Northern Land Council,Not recorded,Arnhem,624,133.114,-14.555,Beswick is located on the banks of the Beswick Creek east of Katherine on the Beswick Aboriginal Land Trust.
345,Binjari - Minor,582,Binjarri and Wylunba,Katherine,Kriol,Northern Land Council,Not recorded,Katherine,223,132.182,-14.55,Binjari is located west of Katherine as a Community Living Area within Manbullo Pastoral Property.
659,Birany Birany - Minor,464,Biranybirany,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,16,136.477,-12.817,About 2 hours drive from Nhulunbuy
36,Bishops Bore - Family Outstation,810,,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,133.071,-14.615,6.5km OFF BARUNGA/BESWICK RD
51,Black Rock Landing - Family Outstation,24899,,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,5,136.51,-15.921,
502,Blacktank Bore - Family Outstation,784,Bond Springs,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,18,134.02,-23.324,"The Arltunga Tourist Drive turns east off the Stuart Hwy 50km north from the A/S PO. At  17.5 km from the right fork onto the Sandy Bore road.  Turn south off the Sandy Bore road 10.5km from the Arltunga Tourist Drive. The outstation is about 1km from the intersection. Access from the Arltunga Tourist Drive is basically a flat bladed track which is impassable to 2WD after a big rain., The outstation is about 80km by road from Alice Springs via the Stuart Hwy and the Arltunga Tourist Drive."
697,Blackwater - Family Outstation,25,Aturu,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,30,131.897,-23.262,"7KMS SOUTH OF PAPUNYA, 247KMS VIA PAPUNYA"
493,Bloodwood Bore - Family Outstation,843,,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,,134.288,-25.768,"1:250,000 TOPGRAPHICAL MAP REF SG 53-6 FINKE.

36.9 KMS SW OF FINKE ALONG THE FINKE/KULGERA ROAD THENCE 0.4 KMS N OF ROAD., 390 KMS SOUTH OF ASP VIA THE STUART HIGHWAY TO KULGERA AND THENCE ALONG KULGERA/APUTULA ROAD."
359,Blue Bush - Family Outstation,829,Bluebush,Barkly,Not recorded,Central Land Council,Not recorded,Barkly,5,133.736,-19.024,85kms North/West of Tennant Crk.  Turn off Warrego road
117,Bobs Yard - Family Outstation,698,"Bob's Yard, Iuwakam and Kutjulum Burru",Victoria Daly,Not recorded,Northern Land Council,Not recorded,Gwoja,,130.611,-16.009,"Road acces is via the Victoria Hwy for approx 27km and then Top Springs road. Access is good most of the year., 65km SOUTH TIMBER CREEK"
774,Bodia - Family Outstation,465,,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,29,134.896,-12.077,"Via Milingimbi - 5km NW of Milingimbi, 250 km from Nhulunbuy"
77,Bolkdjam - Family Outstation,298,Borlkdjam and Bulkdjam,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,26,134.42,-12.412,"Borlkdjam community is located 57km by road south of Maningrida. Driving time to Maningrida is about 45 minutes and access is possible most of the year., 57 km SOUTH OF MANINGRIDA"
621,Boomerang Lagoon - Family Outstation,583,Malanbapoy,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,10,135.039,-14.451,51 km N.E. NGUKURR
418,Borogomarra - Family Outstation,481,"Djakalajirapurra, Djakalajiripurra, Mangbirr and Mangbirri",East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,,134.978,-12.242,14 km S OF RAMINGINING
663,Borroloola - Village,11092,,Roper Gulf,"Garrwa, Eastside Kriol",Northern Land Council,"Kriol, Yanyuwa",Barkly,390,136.307,-16.068,Borroloola is located on the eastern coast of the Northern Territory on the Gulf of Carpentaria. It is situated on the banks of the McArthur River.
372,Brumby Plains - Family Outstation,24904,,Victoria Daly,Not recorded,Central Land Council,Not recorded,Gwoja,5,129.01,-17.053,
380,Bubble Bubble - Family Outstation,585,"Dhamberral, Djamboral, Dumbaral Assoc, Dumbral and Newry Station",Victoria Daly,Not recorded,Northern Land Council,Not recorded,Gwoja,6,129.31,-15.81,"Road access is via the Victoria Hwy for 207km and then through the Keep River National Pk. Access is good most of the year., Bubble Bubble is located approx 230km by road west of Timber Creek in the Keep River National Pk."
740,Bucket Springs - Family Outstation,700,Binjen Ningguwung,Victoria Daly,Not recorded,Northern Land Council,Not recorded,Gwoja,,129.165,-15.74,"Road access is via the Victoria Hwy then through the Keep River National Pk.   Access is good most of the year., Bucket Springs is located approx 80km by road east Kununurra and 230km west of Timber Creek."
