,COMMUNITY_ID,COMMUNITY_NAME,COMMUNITY_ALIASES,COMMUNITY_TYPE,MAIN_LANGUAGE,OTHER_LANGUAGES,LOCAL_GOVT COUNCIL,WARD,LAND_COUNCIL,ELECTORATE,POPULATION_COUNT,COMMUNITY_LOCATION,"Community based Essential Service Operators
•",Aboriginal Ranger Groups,Previous SETuP Community,Latitude,Longitude,EntityId,ABN,ORIC,Entity Name,Charity,OrganisationId,Operating As,Organisation Email,Organisation Website,Also Known As,OfficeId,Phone,Fax,Business Email,Business Website,FormattedStreetAddress
12,410,PEPPIMENARTI,No aliases recorded with NTG DIPL,Major,Ngan'gikurunggurr,"Kriol, Murrinh Patha",WEST DALY,TYEMIRRI,NORTHERN LAND COUNCIL,DALY,209,Peppimenarti is located south west of Darwin on the edge of Tom Turners Creek on the Daly River/Port Keats Aboriginal Land Trust.,,,N,-14.15,130.076,2002.0,84 085 734 992,,NORTHERN TERRITORY OF AUSTRALIA,N,2025.0,TERRITORY FAMILIES,TF.complaints@nt.gov.au,https://territoryfamilies.nt.gov.au,PEPPIMENARTI WOMEN'S SAFE HOUSE,6583.0,(08) 8978 2028,,,https://territoryfamilies.nt.gov.au,"Lot 25, Peppimenarti (Po Box) NT 0822"
13,410,PEPPIMENARTI,No aliases recorded with NTG DIPL,Major,Ngan'gikurunggurr,"Kriol, Murrinh Patha",WEST DALY,TYEMIRRI,NORTHERN LAND COUNCIL,DALY,209,Peppimenarti is located south west of Darwin on the edge of Tom Turners Creek on the Daly River/Port Keats Aboriginal Land Trust.,,,N,-14.15,130.076,2898.0,75 221 095 083,7545,PEPPIMENARTI CLUB ASSOCIATION INC,N,6741.0,PEPPIMENARTI CLUB ASSOCIATION INC,,,PEPPIMENARTI CLUB,6582.0,(08) 8978 1377,,,,"Lot 11, Peppimenarti (Po Box) NT 0822"
14,410,PEPPIMENARTI,No aliases recorded with NTG DIPL,Major,Ngan'gikurunggurr,"Kriol, Murrinh Patha",WEST DALY,TYEMIRRI,NORTHERN LAND COUNCIL,DALY,209,Peppimenarti is located south west of Darwin on the edge of Tom Turners Creek on the Daly River/Port Keats Aboriginal Land Trust.,,,N,-14.15,130.076,1296.0,50 934 625 764,7545,PEPPIMENARTI STORE INDIGENOUS CORPORATION,N,1296.0,PEPPIMENARTI STORE INDIGENOUS CORPORATION,peppimenartistore@gmail.com,,PEPPIMENARTI STORE,5130.0,(08) 8978 2586,,peppimenartistore@gmail.com,,"Lot 45, Peppimenarti (Po Box) NT 0822"
15,410,PEPPIMENARTI,No aliases recorded with NTG DIPL,Major,Ngan'gikurunggurr,"Kriol, Murrinh Patha",WEST DALY,TYEMIRRI,NORTHERN LAND COUNCIL,DALY,209,Peppimenarti is located south west of Darwin on the edge of Tom Turners Creek on the Daly River/Port Keats Aboriginal Land Trust.,,,N,-14.15,130.076,1110.0,41 159 696 849,,SCOTT HAMMET BUILDING & CARPENTRY PTY LTD,N,1110.0,SCOTT HAMMET BUILDING & CARPENTRY PTY LTD,,,,7962.0,,,,,"To be added, Peppimenarti (Po Box) NT 0822"
16,410,PEPPIMENARTI,No aliases recorded with NTG DIPL,Major,Ngan'gikurunggurr,"Kriol, Murrinh Patha",WEST DALY,TYEMIRRI,NORTHERN LAND COUNCIL,DALY,209,Peppimenarti is located south west of Darwin on the edge of Tom Turners Creek on the Daly River/Port Keats Aboriginal Land Trust.,,,N,-14.15,130.076,2436.0,67 234 261 446,,TOP END HEALTH SERVICE,N,6200.0,TOP END HEALTH SERVICE,tehscoocorrespondence.doh@nt.gov.au,https://health.nt.gov.au/health-governance/top-end-health-service,PEPPIMENARTI HEALTH CENTRE,6579.0,(08) 8978 1066,,peppimenarti.clinicmgr@nt.gov.au,https://health.nt.gov.au/health-governance/top-end-health-service,"Lot 73, Peppimenarti (Po Box) NT 0822"
17,410,PEPPIMENARTI,No aliases recorded with NTG DIPL,Major,Ngan'gikurunggurr,"Kriol, Murrinh Patha",WEST DALY,TYEMIRRI,NORTHERN LAND COUNCIL,DALY,209,Peppimenarti is located south west of Darwin on the edge of Tom Turners Creek on the Daly River/Port Keats Aboriginal Land Trust.,,,N,-14.15,130.076,809.0,25 966 579 574,,WEST DALY REGIONAL COUNCIL,N,809.0,WEST DALY REGIONAL COUNCIL,info@westdaly.nt.gov.au,https://www.westdaly.nt.gov.au,,6577.0,(08) 8977 8601,,info@westdaly.nt.gov.au,https://www.westdaly.nt.gov.au,"Lot 16, Peppimenarti (Po Box) NT 0822"
18,426,WADEYE,PORT KEATS,Major,Murrinh Patha,Not recorded,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,2679,"Wadeye is located south west of Darwin at the mouth of the Fitzmaurice River, close to the coast of the Joseph Bonaparte Gulf. Wadeye is part of the Daly River/Port Keats Aboriginal Land Trust.",,,N,-14.24,129.521,529.0,12 610 076 299,,CATHOLIC CHURCH OF THE DIOCESE OF DARWIN,Y,529.0,CATHOLIC CHURCH OF THE DIOCESE OF DARWIN,reception@darwin.catholic.org.au,http://www.darwin.catholic.org.au,OUR LADY OF THE SACRED HEART,6676.0,(08) 8978 2368,,olshwad@bigpond.com,http://www.darwin.catholic.org.au,"Lot 465 Bunduck St, Wadeye (Po Box) NT 0822"
19,426,WADEYE,PORT KEATS,Major,Murrinh Patha,Not recorded,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,2679,"Wadeye is located south west of Darwin at the mouth of the Fitzmaurice River, close to the coast of the Joseph Bonaparte Gulf. Wadeye is part of the Daly River/Port Keats Aboriginal Land Trust.",,,N,-14.24,129.521,742.0,22 616 685 167,,CATHOLIC EDUCATION OFFICE,Y,742.0,CATHOLIC EDUCATION OFFICE,admin.ceo@nt.catholic.edu.au,http://www.ceont.catholic.edu.au,OUR LADY OF THE SACRED HEART THAMARRURR CATHOLIC COLLEGE,6674.0,(08) 8978 2477,(08) 8978 2300,admin.olshtcs@nt.catholic.edu.au,http://www.ceont.catholic.edu.au,"Lot 217 Perdjert St, Wadeye (Po Box) NT 0822"
20,426,WADEYE,PORT KEATS,Major,Murrinh Patha,Not recorded,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,2679,"Wadeye is located south west of Darwin at the mouth of the Fitzmaurice River, close to the coast of the Joseph Bonaparte Gulf. Wadeye is part of the Daly River/Port Keats Aboriginal Land Trust.",,,N,-14.24,129.521,1278.0,49 861 718 108,,CATHOLICCARE NT,Y,1278.0,CATHOLICCARE NT,,https://www.catholiccarent.org.au,,6666.0,(08) 8978 2515,,wadeye@catholiccarent.org.au,https://www.catholiccarent.org.au,"Lot 492 Kolumboort St, Wadeye (Po Box) NT 0822"
21,426,WADEYE,PORT KEATS,Major,Murrinh Patha,Not recorded,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,2679,"Wadeye is located south west of Darwin at the mouth of the Fitzmaurice River, close to the coast of the Joseph Bonaparte Gulf. Wadeye is part of the Daly River/Port Keats Aboriginal Land Trust.",,,N,-14.24,129.521,3832.0,28 160 855 809,,DJ AIR & ELECTRICAL SERVICES PTY LTD,N,11158.0,DJ AIR & ELECTRICAL SERVICES PTY LTD,,,,7965.0,,,,,"To be added, Wadeye (Po Box) NT 0822"
22,426,WADEYE,PORT KEATS,Major,Murrinh Patha,Not recorded,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,2679,"Wadeye is located south west of Darwin at the mouth of the Fitzmaurice River, close to the coast of the Joseph Bonaparte Gulf. Wadeye is part of the Daly River/Port Keats Aboriginal Land Trust.",,,N,-14.24,129.521,1598.0,65 081 674 582,,MURIN ASSOCIATION INC,Y,1598.0,MURIN ASSOCIATION INC,manager@murintravel.com,http://www.murintravel.com/,,805.0,(08) 8945 3266,(08) 8945 3265,operations@murintravel.com ,http://www.murintravel.com/,"13 Murphy Drive, Marrara NT 0812"
23,426,WADEYE,PORT KEATS,Major,Murrinh Patha,Not recorded,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,2679,"Wadeye is located south west of Darwin at the mouth of the Fitzmaurice River, close to the coast of the Joseph Bonaparte Gulf. Wadeye is part of the Daly River/Port Keats Aboriginal Land Trust.",,,N,-14.24,129.521,2977.0,64 030 034 809,,MURINBATA TRIBAL DEVELOPMENT,Y,6820.0,MURINBATA TRIBAL DEVELOPMENT,murrinpatha@bigpond.com,http://www.murinbata-tribal-development.net.au,MURRINPATHA NIMMIPA STORE,6686.0,(08) 8978 2350,,murrinhpatha@bigpond.com,http://www.murinbata-tribal-development.net.au,"LOT 815A PERDJERT ST, Wadeye (Po Box) NT 0822"
24,426,WADEYE,PORT KEATS,Major,Murrinh Patha,Not recorded,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,2679,"Wadeye is located south west of Darwin at the mouth of the Fitzmaurice River, close to the coast of the Joseph Bonaparte Gulf. Wadeye is part of the Daly River/Port Keats Aboriginal Land Trust.",,,N,-14.24,129.521,2977.0,64 030 034 809,,MURINBATA TRIBAL DEVELOPMENT,Y,6820.0,MURINBATA TRIBAL DEVELOPMENT,murrinpatha@bigpond.com,http://www.murinbata-tribal-development.net.au,MURRINPATHA NIMMIPA VARIETY AND FURNITURE STORE,6687.0,(08) 8978 2350,,murrinhpatha@bigpond.com,http://www.murinbata-tribal-development.net.au,"LOT 815B PERDJERT ST, Wadeye (Po Box) NT 0822"
25,426,WADEYE,PORT KEATS,Major,Murrinh Patha,Not recorded,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,2679,"Wadeye is located south west of Darwin at the mouth of the Fitzmaurice River, close to the coast of the Joseph Bonaparte Gulf. Wadeye is part of the Daly River/Port Keats Aboriginal Land Trust.",,,N,-14.24,129.521,3497.0,30 429 895 164,,NATIONAL INDIGENOUS AUSTRALIANS AGENCY,N,7400.0,NATIONAL INDIGENOUS AUSTRALIANS AGENCY,,https://www.niaa.gov.au,,7484.0,(08) 8978 1382,,Kirk.Whelan@official.niaa.gov.au,https://www.niaa.gov.au,"LOT 349, Wadeye (Po Box) NT 0822"
26,426,WADEYE,PORT KEATS,Major,Murrinh Patha,Not recorded,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,2679,"Wadeye is located south west of Darwin at the mouth of the Fitzmaurice River, close to the coast of the Joseph Bonaparte Gulf. Wadeye is part of the Daly River/Port Keats Aboriginal Land Trust.",,,N,-14.24,129.521,2002.0,84 085 734 992,,NORTHERN TERRITORY OF AUSTRALIA,N,2011.0,DEPARTMENT OF THE CHIEF MINISTER NT,,https://dcm.nt.gov.au,NTG WEST DALY REGIONAL CENTRE,6948.0,(08) 8999 5511,,,https://dcm.nt.gov.au,"Lot 563 Bem St, Wadeye (Po Box) NT 0822"
27,426,WADEYE,PORT KEATS,Major,Murrinh Patha,Not recorded,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,2679,"Wadeye is located south west of Darwin at the mouth of the Fitzmaurice River, close to the coast of the Joseph Bonaparte Gulf. Wadeye is part of the Daly River/Port Keats Aboriginal Land Trust.",,,N,-14.24,129.521,2002.0,84 085 734 992,,NORTHERN TERRITORY OF AUSTRALIA,N,2024.0,"NORTHERN TERRITORY POLICE, FIRE AND EMERGENCY SERVICES",police.information@nt.gov.au,https://www.pfes.nt.gov.au/police,WADEYE POLICE STATION,6667.0,(08) 8978 2366,,police.information@nt.gov.au,https://www.pfes.nt.gov.au/police,"Lot 817, Wadeye (Po Box) NT 0822"
28,426,WADEYE,PORT KEATS,Major,Murrinh Patha,Not recorded,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,2679,"Wadeye is located south west of Darwin at the mouth of the Fitzmaurice River, close to the coast of the Joseph Bonaparte Gulf. Wadeye is part of the Daly River/Port Keats Aboriginal Land Trust.",,,N,-14.24,129.521,1819.0,74 914 567 313,,ONE TREE COMMUNITY SERVICES INC,Y,1819.0,ONE TREE COMMUNITY SERVICES INC,enrolments@onetree.org.au,https://www.onetree.org.au,ONE TREE CRÈCHE ,6673.0,(08) 8978 2904,,wadeye@onetree.org.au,https://www.onetree.org.au,"Lot 650 Banthan St, Wadeye (Po Box) NT 0822"
29,426,WADEYE,PORT KEATS,Major,Murrinh Patha,Not recorded,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,2679,"Wadeye is located south west of Darwin at the mouth of the Fitzmaurice River, close to the coast of the Joseph Bonaparte Gulf. Wadeye is part of the Daly River/Port Keats Aboriginal Land Trust.",,,N,-14.24,129.521,1819.0,74 914 567 313,,ONE TREE COMMUNITY SERVICES INC,Y,1819.0,ONE TREE COMMUNITY SERVICES INC,enrolments@onetree.org.au,https://www.onetree.org.au,WADEYE SAFE HOUSE,8972.0,(08) 8978 1020,,wadeyesafehouse@onetree.org.au,https://www.onetree.org.au/community-services/family-and-domestic-violence-services/,"Lot 646, Wadeye (Po Box) NT 0822"
30,426,WADEYE,PORT KEATS,Major,Murrinh Patha,Not recorded,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,2679,"Wadeye is located south west of Darwin at the mouth of the Fitzmaurice River, close to the coast of the Joseph Bonaparte Gulf. Wadeye is part of the Daly River/Port Keats Aboriginal Land Trust.",,,N,-14.24,129.521,1646.0,67 353 098 819,8377,PALNGUN WURNANGAT ABORIGINAL CORPORATION ,Y,1646.0,PALNGUN WURNANGAT ABORIGINAL CORPORATION ,info@wpw.org.au,http://palngunwurnangat.com,PALNGUN WURNANGAT ARTS CENTRE,5951.0,(08) 8978 1334,(08) 8978 2547,arts@wpw.org.au,http://palngunwurnangat.com,"Lot 462a Perdjert St, Wadeye (Po Box) NT 0822"
31,426,WADEYE,PORT KEATS,Major,Murrinh Patha,Not recorded,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,2679,"Wadeye is located south west of Darwin at the mouth of the Fitzmaurice River, close to the coast of the Joseph Bonaparte Gulf. Wadeye is part of the Daly River/Port Keats Aboriginal Land Trust.",,,N,-14.24,129.521,1646.0,67 353 098 819,8377,PALNGUN WURNANGAT ABORIGINAL CORPORATION ,Y,1646.0,PALNGUN WURNANGAT ABORIGINAL CORPORATION ,info@wpw.org.au,http://palngunwurnangat.com,WADEYE FAMILY SUPPORT,6680.0,(08) 8978 2229,,info@wpw.org.au,http://palngunwurnangat.com,"Lot 462b Perdjert St, Wadeye (Po Box) NT 0822"
32,426,WADEYE,PORT KEATS,Major,Murrinh Patha,Not recorded,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,2679,"Wadeye is located south west of Darwin at the mouth of the Fitzmaurice River, close to the coast of the Joseph Bonaparte Gulf. Wadeye is part of the Daly River/Port Keats Aboriginal Land Trust.",,,N,-14.24,129.521,1646.0,67 353 098 819,8377,PALNGUN WURNANGAT ABORIGINAL CORPORATION ,Y,1646.0,PALNGUN WURNANGAT ABORIGINAL CORPORATION ,info@wpw.org.au,http://palngunwurnangat.com,PALNGUN WURANGAT PLUMS,6682.0,(08) 8978 2229,,info@wpw.org.au,http://palngunwurnangat.com,"Lot 462d Perdjert St, Wadeye (Po Box) NT 0822"
33,426,WADEYE,PORT KEATS,Major,Murrinh Patha,Not recorded,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,2679,"Wadeye is located south west of Darwin at the mouth of the Fitzmaurice River, close to the coast of the Joseph Bonaparte Gulf. Wadeye is part of the Daly River/Port Keats Aboriginal Land Trust.",,,N,-14.24,129.521,1646.0,67 353 098 819,8377,PALNGUN WURNANGAT ABORIGINAL CORPORATION ,Y,1646.0,PALNGUN WURNANGAT ABORIGINAL CORPORATION ,info@wpw.org.au,http://palngunwurnangat.com,WADEYE RETAIL SHOP AND LAUNDROMAT,6683.0,(08) 8978 2229,,info@wpw.org.au,http://palngunwurnangat.com,"Lot 462e Perdjert St, Wadeye (Po Box) NT 0822"
34,426,WADEYE,PORT KEATS,Major,Murrinh Patha,Not recorded,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,2679,"Wadeye is located south west of Darwin at the mouth of the Fitzmaurice River, close to the coast of the Joseph Bonaparte Gulf. Wadeye is part of the Daly River/Port Keats Aboriginal Land Trust.",,,N,-14.24,129.521,1646.0,67 353 098 819,8377,PALNGUN WURNANGAT ABORIGINAL CORPORATION ,Y,1646.0,PALNGUN WURNANGAT ABORIGINAL CORPORATION ,info@wpw.org.au,http://palngunwurnangat.com,"WADEYE TAKEAWAY, BAKERY, AND BUTCHER",6684.0,(08) 8978 2496,,mipatha@wpw.org.au,http://palngunwurnangat.com,"Lot 559 Perdjert St, Wadeye (Po Box) NT 0822"
35,426,WADEYE,PORT KEATS,Major,Murrinh Patha,Not recorded,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,2679,"Wadeye is located south west of Darwin at the mouth of the Fitzmaurice River, close to the coast of the Joseph Bonaparte Gulf. Wadeye is part of the Daly River/Port Keats Aboriginal Land Trust.",,,N,-14.24,129.521,1646.0,67 353 098 819,8377,PALNGUN WURNANGAT ABORIGINAL CORPORATION ,Y,1646.0,PALNGUN WURNANGAT ABORIGINAL CORPORATION ,info@wpw.org.au,http://palngunwurnangat.com,T-HOUSE CAFÉ,6678.0,(08) 8978 2229,,info@wpw.org.au,http://palngunwurnangat.com,"Lot 462 Peerdjert St, Wadeye (Po Box) NT 0822"
36,426,WADEYE,PORT KEATS,Major,Murrinh Patha,Not recorded,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,2679,"Wadeye is located south west of Darwin at the mouth of the Fitzmaurice River, close to the coast of the Joseph Bonaparte Gulf. Wadeye is part of the Daly River/Port Keats Aboriginal Land Trust.",,,N,-14.24,129.521,3177.0,29 468 422 437,,SERVICES AUSTRALIA TRADING AS CENTRELINK,N,7020.0,SERVICES AUSTRALIA TRADING AS CENTRELINK,,https://www.humanservices.gov.au/individuals/centrelink,WADEYE CENTRELINK,6947.0,1800 136 380,,,https://www.humanservices.gov.au/individuals/centrelink,"Lot 636, Wadeye (Po Box) NT 0822"
37,426,WADEYE,PORT KEATS,Major,Murrinh Patha,Not recorded,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,2679,"Wadeye is located south west of Darwin at the mouth of the Fitzmaurice River, close to the coast of the Joseph Bonaparte Gulf. Wadeye is part of the Daly River/Port Keats Aboriginal Land Trust.",,,N,-14.24,129.521,1368.0,54 124 789 493,,THAMARRURR DEVELOPMENT CORPORATION LIMITED,Y,1368.0,THAMARRURR DEVELOPMENT CORPORATION LIMITED,pa@thamarrurr.org.au,http://thamarrurr.org.au,,1630.0,(08) 8978 1305,,pa@thamarrurr.org.au,http://thamarrurr.org.au,"Lot 463 Perdjert St, Wadeye (Po Box) NT 0822"
